                 Estimate  Std. Error       t value     Pr(>|t|)
(Intercept)  1.493269e+00 0.012783344 116.813630902 0.000000e+00
X99         -2.015786e-02 0.016755125  -1.203086256 2.290659e-01
X100        -1.859160e-02 0.021956240  -0.846756985 3.972180e-01
X101         9.507161e-03 0.020595218   0.461619819 6.443973e-01
X102        -2.119161e-02 0.024193317  -0.875928158 3.811599e-01
X103        -7.928530e-03 0.020775208  -0.381634190 7.027677e-01
X104         4.044924e-02 0.022916481   1.765072093 7.768336e-02
X105        -7.182143e-03 0.018180694  -0.395042315 6.928480e-01
X106         8.596806e-02 0.035336066   2.432870136 1.505487e-02
X107         3.181026e-03 0.020759351   0.153233406 8.782276e-01
X108         5.420906e-03 0.009826772   0.551646708 5.812436e-01
X109         2.976208e-02 0.024590734   1.210296382 2.262886e-01
X110         5.838959e-03 0.019549423   0.298676784 7.652135e-01
X111         2.018673e-02 0.014857142   1.358722259 1.743669e-01
X112         1.154411e-02 0.016146024   0.714981367 4.746926e-01
X113         4.288975e-04 0.014194314   0.030216148 9.758973e-01
X114         4.269761e-03 0.013894589   0.307296712 7.586452e-01
X115         1.818334e-02 0.013537059   1.343226739 1.793301e-01
X116        -1.187840e-02 0.017554688  -0.676651222 4.986948e-01
X117        -1.188647e-02 0.023969456  -0.495900774 6.200115e-01
X118         8.059476e-02 0.022471131   3.586591255 3.419649e-04
X119         1.964922e-02 0.014843789   1.323733449 1.857222e-01
X120         3.586614e-02 0.010006615   3.584242941 3.450388e-04
X121         1.867088e-02 0.019571261   0.953994531 3.401859e-01
X122         8.449379e-02 0.028025395   3.014901061 2.598529e-03
X123        -3.951975e-02 0.019231083  -2.054993345 3.999154e-02
X124        -1.538135e-03 0.024067353  -0.063909616 9.490477e-01
X125        -1.427228e-02 0.023185079  -0.615580190 5.382321e-01
X126         1.289699e-02 0.008414348   1.532737383 1.254771e-01
X127         2.626470e-04 0.029249434   0.008979557 9.928362e-01
X128        -6.849259e-02 0.029796190  -2.298702785 2.161044e-02
X129         2.826985e-02 0.030032223   0.941317264 3.466404e-01
X130        -4.810481e-03 0.025305459  -0.190096558 8.492501e-01
X131         9.025438e-03 0.022556604   0.400123957 6.891021e-01
X132         4.778697e-03 0.009831937   0.486038210 6.269860e-01
X133         3.709528e-02 0.014454113   2.566416925 1.033784e-02
X134        -1.266834e-02 0.025298612  -0.500752550 6.165928e-01
X135        -2.325790e-02 0.017497216  -1.329234410 1.839015e-01
X136        -3.832571e-02 0.033677984  -1.138004792 2.552361e-01
X137        -3.448647e-02 0.024755844  -1.393063885 1.637341e-01
X138         5.308123e-02 0.021232417   2.500008939 1.248765e-02
X139        -1.753030e-02 0.031482378  -0.556829057 5.776980e-01
X140        -3.414231e-02 0.010758260  -3.173590274 1.525399e-03
X141         1.201421e-02 0.025604958   0.469214178 6.389607e-01
X142         1.842829e-02 0.013783990   1.336934059 1.813754e-01
X143        -4.542683e-02 0.024506212  -1.853686459 6.391105e-02
X144         5.723857e-02 0.027116330   2.110852225 3.489189e-02
X145         7.965258e-03 0.025192186   0.316179705 7.518946e-01
X146        -3.855944e-02 0.012276287  -3.140969626 1.705142e-03
X147         2.319746e-02 0.012990944   1.785664007 7.428443e-02
X148         6.338299e-02 0.024430231   2.594449189 9.533987e-03
X149         3.431432e-02 0.021943927   1.563727476 1.180181e-01
X150        -2.862919e-02 0.027529578  -1.039943046 2.984749e-01
X151        -7.406399e-02 0.041380226  -1.789840225 7.361015e-02
X152         4.212715e-02 0.020913914   2.014312323 4.409211e-02
X153         8.092052e-03 0.013343350   0.606448295 5.442765e-01
X154         2.224535e-03 0.026080450   0.085295121 9.320341e-01
X155         2.030702e-02 0.020097501   1.010425197 3.123971e-01
X156        -2.148597e-02 0.025683407  -0.836570119 4.029205e-01
X157         4.674183e-04 0.028397316   0.016459947 9.868689e-01
X158        -2.471980e-02 0.025141737  -0.983217614 3.256030e-01
X159         3.241809e-02 0.009854529   3.289663640 1.018096e-03
X160        -4.433886e-03 0.011381903  -0.389555742 6.969009e-01
X161         7.101213e-03 0.014538411   0.488444904 6.252810e-01
X162        -7.270422e-03 0.025732338  -0.282540293 7.775545e-01
X163         6.951579e-03 0.010158779   0.684292778 4.938587e-01
X164         3.001061e-03 0.014500794   0.206958359 8.360606e-01
X165         2.218026e-02 0.010889500   2.036848778 4.177866e-02
X166        -3.219803e-02 0.011829753  -2.721783672 6.541658e-03
X167        -2.568411e-03 0.026050896  -0.098592030 9.214707e-01
X168         6.186540e-02 0.020348287   3.040324901 2.389680e-03
X169         1.118532e-02 0.026835735   0.416806877 6.768583e-01
X170        -2.306164e-02 0.030333955  -0.760258187 4.471776e-01
X171        -5.155414e-02 0.025199431  -2.045845554 4.088425e-02
X172        -6.029134e-02 0.009691981  -6.220744348 5.853158e-10
X173         9.208828e-03 0.025412119   0.362379372 7.171016e-01
X174         1.247664e-02 0.029556726   0.422125403 6.729727e-01
X175        -7.963956e-03 0.029311491  -0.271700818 7.858763e-01
X176        -3.566926e-03 0.024204945  -0.147363529 8.828579e-01
X177         1.782996e-02 0.026347370   0.676726302 4.986472e-01
X178         1.799542e-02 0.025566666   0.703862445 4.815892e-01
X179        -1.564237e-02 0.026162897  -0.597883572 5.499761e-01
X180         3.928734e-02 0.025221170   1.557712898 1.194379e-01
X181         1.767166e-02 0.018229627   0.969392261 3.324507e-01
X182        -4.972595e-02 0.029864506  -1.665051847 9.603761e-02
X183         2.486948e-02 0.009735445   2.554529523 1.069657e-02
X184         6.049019e-02 0.026439552   2.287867434 2.223495e-02
X185        -2.194394e-03 0.031931958  -0.068720947 9.452177e-01
X186        -6.690073e-03 0.015315812  -0.436808218 6.622911e-01
X187         6.394611e-02 0.031840696   2.008313820 4.472581e-02
X188         2.255925e-02 0.011428161   1.974005583 4.849972e-02
X189        -1.622123e-02 0.037665689  -0.430663267 6.667533e-01
X190        -3.557301e-03 0.022342351  -0.159217870 8.735111e-01
X191         3.902377e-02 0.020748343   1.880813538 6.012260e-02
X192        -6.419243e-02 0.021258526  -3.019608615 2.558641e-03
X193         2.767138e-04 0.031016524   0.008921495 9.928825e-01
X194        -3.133229e-02 0.023129077  -1.354671084 1.756544e-01
X195         3.371159e-02 0.015178803   2.220964833 2.644969e-02
X196         1.404438e-02 0.024627563   0.570270885 5.685493e-01
X197         4.719261e-02 0.031627986   1.492115393 1.358050e-01
X198         2.045854e-02 0.011756455   1.740196228 8.195733e-02
X199        -4.128558e-03 0.010109396  -0.408388215 6.830264e-01
X200         1.604944e-02 0.011903529   1.348292306 1.776962e-01
X201        -3.545203e-02 0.016540296  -2.143373586 3.218695e-02
X202         3.301467e-02 0.013198064   2.501477890 1.243610e-02
X203        -1.628177e-03 0.017625130  -0.092378171 9.264056e-01
X204         1.824739e-02 0.032949662   0.553795965 5.797719e-01
X205        -1.521516e-02 0.018092294  -0.840974557 4.004490e-01
X206        -3.751577e-02 0.014727502  -2.547327571 1.091926e-02
X207        -7.462296e-03 0.015985294  -0.466822552 6.406707e-01
X208         1.553936e-02 0.032788833   0.473922274 6.356000e-01
X209        -5.196782e-02 0.021544834  -2.412077927 1.593916e-02
X210        -5.259193e-02 0.039395914  -1.334958929 1.820209e-01
X211         1.557779e-02 0.017727188   0.878751321 3.796272e-01
X212         1.431676e-02 0.039582848   0.361691038 7.176159e-01
X213         2.244647e-02 0.016135111   1.391156533 1.643115e-01
X214         7.025536e-03 0.016579249   0.423754778 6.717840e-01
X215         3.720525e-02 0.013764319   2.703021807 6.921386e-03
X216        -1.818739e-03 0.031090000  -0.058499159 9.533561e-01
X217         5.759296e-03 0.029061727   0.198174613 8.429258e-01
X218        -4.178965e-03 0.012833326  -0.325633832 7.447308e-01
X219         5.842287e-02 0.027300751   2.139973111 3.246110e-02
X220        -3.139889e-02 0.013604638  -2.307954704 2.108935e-02
X221        -1.170532e-01 0.036053939  -3.246613179 1.184526e-03
X222        -1.834789e-03 0.026611998  -0.068945920 9.450386e-01
X223        -1.608581e-02 0.021292831  -0.755456592 4.500519e-01
X224         1.364623e-02 0.018454089   0.739468921 4.596972e-01
X225        -1.084182e-02 0.016792168  -0.645647591 5.185715e-01
X226         3.973044e-03 0.021483955   0.184930756 8.532995e-01
X227         2.885283e-02 0.025272615   1.141663962 2.537117e-01
X228        -3.239918e-02 0.025131750  -1.289173044 1.974666e-01
X229         2.233593e-02 0.032908408   0.678730121 4.973767e-01
X230        -7.023585e-03 0.025579750  -0.274575975 7.836665e-01
X231         3.103180e-02 0.016170215   1.919071746 5.509797e-02
X232         4.897333e-02 0.016719189   2.929169289 3.431884e-03
X233        -7.205399e-02 0.029226501  -2.465364802 1.375938e-02
X234         4.126313e-02 0.028956534   1.425002296 1.542912e-01
X235        -7.708554e-02 0.036675023  -2.101853933 3.567377e-02
X236         9.529413e-02 0.030462641   3.128229561 1.780488e-03
X237        -3.693987e-02 0.026934093  -1.371491309 1.703546e-01
X238        -1.716155e-02 0.017070907  -1.005309618 3.148528e-01
X239        -7.088991e-02 0.035864552  -1.976601029 4.820515e-02
X240        -1.384847e-02 0.031464823  -0.440125355 6.598874e-01
X241        -1.943337e-02 0.016607207  -1.170176728 2.420502e-01
X242        -2.528363e-02 0.015977572  -1.582444762 1.136846e-01
X243         1.798305e-02 0.015994227   1.124346225 2.609826e-01
X244         4.741321e-02 0.024871972   1.906290840 5.673609e-02
X245        -1.288258e-03 0.030414890  -0.042356152 9.662184e-01
X246        -7.169090e-02 0.044335545  -1.617007299 1.060128e-01
X247         2.750602e-02 0.034759779   0.791317548 4.288397e-01
X248        -3.732019e-02 0.025216472  -1.479992676 1.390112e-01
X249         4.575393e-02 0.021216950   2.156479986 3.114880e-02
X250        -1.544578e-02 0.039507250  -0.390960635 6.958623e-01
X251        -1.897579e-02 0.033758652  -0.562101475 5.741013e-01
X252         7.036747e-03 0.035753563   0.196812475 8.439916e-01
X253        -1.727072e-02 0.028712183  -0.601511993 5.475579e-01
X254         1.692209e-02 0.026155859   0.646971404 5.177145e-01
X255         3.829551e-02 0.013216684   2.897512994 3.796648e-03
X256         5.808621e-02 0.025702024   2.259985718 2.391462e-02
X257         2.325643e-02 0.014144674   1.644183105 1.002740e-01
X258         4.350270e-02 0.028402697   1.531639857 1.257478e-01
X259         2.413987e-03 0.018195812   0.132667149 8.944681e-01
X260        -1.643792e-02 0.018811847  -0.873806803 3.823140e-01
X261        -4.627486e-02 0.035722385  -1.295402399 1.953105e-01
X262         2.250776e-02 0.021599180   1.042065404 2.974901e-01
X263        -7.619579e-02 0.037009257  -2.058830497 3.962203e-02
X264         5.130743e-02 0.024396716   2.103046473 3.556930e-02
X265        -4.928037e-03 0.029433565  -0.167429143 8.670470e-01
X266         6.037284e-02 0.034175864   1.766534523 7.743786e-02
X267         1.801758e-02 0.020744228   0.868558671 3.851785e-01
X268         3.819382e-02 0.013217501   2.889640331 3.892674e-03
X269        -2.712294e-02 0.023547688  -1.151830126 2.495097e-01
X270         3.888222e-02 0.026475331   1.468620935 1.420714e-01
X271        -4.553069e-02 0.036534570  -1.246235943 2.128038e-01
X272        -1.071970e-02 0.014890311  -0.719910755 4.716526e-01
X273        -6.691005e-03 0.019173790  -0.348966220 7.271464e-01
X274         3.333113e-02 0.023206471   1.436286101 1.510559e-01
X275         3.811229e-03 0.023524201   0.162013103 8.713097e-01
X276         3.393424e-02 0.029270335   1.159338973 2.464375e-01
X277        -1.624809e-02 0.026907121  -0.603858517 5.459968e-01
X278         3.418827e-02 0.018193737   1.879123114 6.035311e-02
X279         5.808818e-02 0.032472696   1.788831430 7.377256e-02
X280        -2.135279e-02 0.008772462  -2.434070555 1.500517e-02
X281        -3.853097e-02 0.022672851  -1.699431964 8.937205e-02
X282         3.269666e-02 0.020547013   1.591309616 1.116763e-01
X283        -4.082127e-02 0.011213762  -3.640283648 2.783014e-04
X284        -4.264933e-02 0.024875815  -1.714489716 8.657255e-02
X285        -1.214330e-02 0.030078239  -0.403723900 6.864530e-01
X286         2.258452e-02 0.014094262   1.602391381 1.092054e-01
X287        -3.674485e-02 0.018514660  -1.984635387 4.730282e-02
X288        -1.032157e-02 0.045396463  -0.227365102 8.201599e-01
X289         2.307463e-02 0.032827521   0.702904960 4.821856e-01
X290        -2.106014e-02 0.027314880  -0.771013448 4.407776e-01
X291        -2.500613e-02 0.030241835  -0.826871962 4.083948e-01
X292        -2.253285e-03 0.014215753  -0.158506204 8.740717e-01
X293         2.262455e-02 0.024632567   0.918481021 3.584627e-01
X294        -6.131083e-02 0.029155846  -2.102865816 3.558511e-02
X295        -5.631856e-02 0.042108229  -1.337471465 1.812001e-01
X296         8.849740e-03 0.035578514   0.248738318 8.035853e-01
X297         8.609797e-02 0.035239552   2.443219794 1.463105e-02
X298        -1.655301e-02 0.036158521  -0.457790046 6.471462e-01
X299        -6.990319e-02 0.031928169  -2.189389372 2.866798e-02
X300        -5.445579e-02 0.031117473  -1.750006976 8.024948e-02
X301        -2.457629e-02 0.013898254  -1.768300645 7.714222e-02
X302        -4.100239e-04 0.026762402  -0.015320894 9.877775e-01
X303         6.232356e-03 0.031766741   0.196191225 8.444777e-01
X304        -4.029052e-02 0.021430320  -1.880070689 6.022381e-02
X305         3.161764e-02 0.011873016   2.662983462 7.798715e-03
X306        -6.068860e-03 0.018952938  -0.320206836 7.488404e-01
X307         1.643768e-02 0.019961769   0.823458179 4.103322e-01
X308         7.722159e-03 0.011852088   0.651544212 5.147599e-01
X309        -8.505550e-02 0.025960375  -3.276358657 1.067064e-03
X310         2.997364e-02 0.021597720   1.387815046 1.653268e-01
X311        -4.997541e-02 0.021807866  -2.291623315 2.201672e-02
X312        -5.485389e-02 0.027737374  -1.977616622 4.809030e-02
X313         8.997814e-03 0.024910186   0.361210217 7.179752e-01
X314         2.203191e-02 0.024101800   0.914118890 3.607495e-01
X315        -1.354761e-02 0.032032134  -0.422938098 6.723797e-01
X316        -4.078076e-03 0.019964901  -0.204262242 8.381665e-01
X317        -1.706736e-02 0.024958505  -0.683829411 4.941513e-01
X318         2.167388e-02 0.037336697   0.580498064 5.616352e-01
X319        -2.881243e-03 0.022251377  -0.129486040 8.969843e-01
X320         7.966152e-02 0.033264844   2.394765913 1.670997e-02
X321         2.165482e-03 0.020462689   0.105825879 9.157297e-01
X322        -3.558876e-02 0.013158882  -2.704542875 6.889878e-03
X323        -3.684696e-02 0.022002300  -1.674686972 9.413062e-02
X324         5.850143e-03 0.019762021   0.296029594 7.672340e-01
X325         2.727539e-02 0.017971924   1.517666521 1.292349e-01
X326        -3.302762e-02 0.033535920  -0.984843073 3.248040e-01
X327        -8.891387e-03 0.018486710  -0.480961006 6.305896e-01
X328        -4.155783e-02 0.032353539  -1.284490879 1.990987e-01
X329        -4.780751e-02 0.022912760  -2.086501715 3.704229e-02
X330        -9.814762e-02 0.022125002  -4.436050357 9.590885e-06
X331         1.115415e-02 0.022126119   0.504116694 6.142273e-01
X332        -9.614942e-02 0.036199197  -2.656120178 7.958737e-03
X333        -7.378781e-03 0.040063033  -0.184179298 8.538889e-01
X334         1.135840e-02 0.012866816   0.882767059 3.774537e-01
X335        -2.567944e-02 0.032172582  -0.798177719 4.248492e-01
X336         2.586049e-02 0.012945349   1.997666213 4.586958e-02
X337         7.005779e-03 0.028636120   0.244648316 8.067504e-01
X338         2.970405e-02 0.033670539   0.882197075 3.777618e-01
X339         2.973929e-02 0.026828330   1.108503222 2.677596e-01
X340         9.005851e-04 0.015258480   0.059021937 9.529397e-01
X341         5.326034e-02 0.034602657   1.539197967 1.238925e-01
X342         2.819612e-02 0.026347655   1.070156691 2.846603e-01
X343         4.392373e-03 0.021143511   0.207740961 8.354495e-01
X344        -8.353040e-02 0.040316825  -2.071849624 3.838987e-02
X345        -1.441630e-02 0.028248240  -0.510343285 6.098596e-01
X346        -2.138268e-02 0.022786404  -0.938396401 3.481385e-01
X347         2.155577e-04 0.017657527   0.012207697 9.902610e-01
X348         1.636139e-02 0.034038979   0.480666196 6.307991e-01
X349         7.921316e-02 0.027460528   2.884618899 3.955070e-03
X350         2.303196e-03 0.017532391   0.131368021 8.954956e-01
X351        -3.595315e-02 0.020219987  -1.778099472 7.551863e-02
X352         1.262797e-02 0.016191794   0.779899645 4.355296e-01
X353         2.235535e-04 0.011176470   0.020002154 9.840434e-01
X354         3.029949e-02 0.025561161   1.185372170 2.359919e-01
X355        -5.528770e-02 0.028910169  -1.912396313 5.594856e-02
X356         3.225729e-02 0.024229708   1.331311582 1.832175e-01
X357        -5.557029e-02 0.022931022  -2.423367526 1.545350e-02
X358         3.993281e-02 0.017028032   2.345121973 1.910482e-02
X359         1.086580e-02 0.018478082   0.588037450 5.565645e-01
X360         2.447075e-02 0.020532466   1.191807766 2.334587e-01
X361        -3.939084e-02 0.024010386  -1.640574848 1.010214e-01
X362         5.591609e-02 0.029352734   1.904970447 5.690761e-02
X363         2.775850e-03 0.037253952   0.074511563 9.406098e-01
X364         9.482398e-03 0.010087356   0.940028085 3.473011e-01
X365         2.453464e-02 0.011165174   2.197425614 2.808871e-02
X366         3.292650e-02 0.032050308   1.027337951 3.043686e-01
X367        -4.292703e-02 0.022909591  -1.873758028 6.108955e-02
X368         1.660102e-03 0.023605601   0.070326620 9.439398e-01
X369         9.869191e-03 0.025468931   0.387499219 6.984223e-01
X370         1.226643e-03 0.013927735   0.088072002 9.298271e-01
X371         3.800591e-02 0.009619821   3.950792297 8.022150e-05
X372         3.149314e-03 0.013311170   0.236591830 8.129944e-01
X373        -1.030390e-03 0.019631245  -0.052487261 9.581450e-01
X374         1.970991e-02 0.023893807   0.824896018 4.095155e-01
X375        -1.269507e-02 0.017515777  -0.724779147 4.686607e-01
X376         1.453678e-02 0.025651254   0.566708528 5.709671e-01
X377        -1.339616e-02 0.020553063  -0.651784080 5.146051e-01
X378        -3.500855e-02 0.021556502  -1.624036632 1.045040e-01
X379         3.023747e-02 0.038876417   0.777784481 4.367755e-01
X380        -5.904298e-03 0.012625275  -0.467657011 6.400739e-01
X381         7.236057e-03 0.014510119   0.498690378 6.180449e-01
X382        -1.972677e-02 0.044696269  -0.441351650 6.589996e-01
X383        -4.897111e-02 0.021613902  -2.265722788 2.356028e-02
X384        -2.264909e-02 0.035393340  -0.639925088 5.222846e-01
X385         4.107097e-02 0.035572814   1.154560739 2.483894e-01
X386         6.508167e-03 0.030867287   0.210843502 8.330279e-01
X387         4.547492e-03 0.022851204   0.199004470 8.422767e-01
X388         3.445586e-03 0.017867465   0.192841346 8.471001e-01
X389        -7.225359e-02 0.029887085  -2.417552294 1.570201e-02
X390        -8.077357e-02 0.062258215  -1.297396230 1.946240e-01
X391        -1.781827e-02 0.034961463  -0.509654625 6.103420e-01
X392        -4.713486e-02 0.041850895  -1.126256890 2.601734e-01
X393        -1.244322e-02 0.027054985  -0.459923243 6.456145e-01
X394        -4.618666e-02 0.030692256  -1.504830913 1.325039e-01
